West Germany, Exposure to risk (period 1x1), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1956           0            393673.20       414755.12       808428.32
  1956           1            378994.30       398236.81       777231.11
  1956           2            374743.97       392243.02       766986.99
  1956           3            371611.96       389719.66       761331.62
  1956           4            370694.48       388703.57       759398.05
  1956           5            372144.22       389849.43       761993.66
  1956           6            375705.61       393698.34       769403.95
  1956           7            373054.04       390777.78       763831.82
  1956           8            347147.65       362636.83       709784.48
  1956           9            340119.03       353553.52       693672.56
  1956          10            283571.94       292634.79       576206.73
  1956          11            317704.17       327684.50       645388.67
  1956          12            369862.00       383421.67       753283.67
  1956          13            370924.17       385184.33       756108.50
  1956          14            409644.67       425249.50       834894.17
  1956          15            472718.67       489556.83       962275.50
  1956          16            491772.83       507136.33       998909.17
  1956          17            476275.50       491725.17       968000.67
  1956          18            450724.67       468863.00       919587.67
  1956          19            439465.17       458902.33       898367.50
  1956          20            436661.17       457846.84       894508.00
  1956          21            422149.67       443843.34       865993.00
  1956          22            373039.17       390795.00       763834.17
  1956          23            338836.17       353753.00       692589.17
  1956          24            348155.83       363325.84       711481.67
  1956          25            368647.17       385379.00       754026.17
  1956          26            381396.83       397820.67       779217.50
  1956          27            383422.67       399851.67       783274.33
  1956          28            383517.00       386093.84       769610.84
  1956          29            388144.50       357564.50       745709.00
  1956          30            410264.67       346529.50       756794.17
  1956          31            418080.50       325095.67       743176.17
  1956          32            414774.50       304775.00       719549.50
  1956          33            427701.50       315131.17       742832.67
  1956          34            451568.33       332915.83       784484.17
  1956          35            469468.83       340178.33       809647.17
  1956          36            418666.50       302043.33       720709.83
  1956          37            304889.50       221963.33       526852.83
  1956          38            241413.17       177788.83       419202.00
  1956          39            249271.50       184341.83       433613.33
  1956          40            306042.83       224452.50       530495.33
  1956          41            397750.83       289935.50       687686.33
  1956          42            449271.50       332547.00       781818.50
  1956          43            457541.00       348340.67       805881.67
  1956          44            452099.00       348755.67       800854.67
  1956          45            451057.67       348562.83       799620.50
  1956          46            464560.50       362344.83       826905.33
  1956          47            466789.50       369778.67       836568.17
