West Germany, Life tables (period 1x1), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1956           0      0.03608  0.03505  0.19  100000    3505   97149  7088760  70.89
  1956           1      0.00241  0.00240  0.50   96495     232   96379  6991611  72.46
  1956           2      0.00137  0.00137  0.50   96263     131   96197  6895232  71.63
  1956           3      0.00092  0.00092  0.50   96131      88   96087  6799035  70.73
  1956           4      0.00075  0.00075  0.50   96043      72   96007  6702948  69.79
  1956           5      0.00065  0.00065  0.50   95971      62   95940  6606941  68.84
  1956           6      0.00049  0.00049  0.50   95909      47   95885  6511001  67.89
  1956           7      0.00042  0.00042  0.50   95861      40   95841  6415116  66.92
  1956           8      0.00041  0.00041  0.50   95822      39   95802  6319275  65.95
  1956           9      0.00033  0.00033  0.50   95782      32   95767  6223473  64.98
  1956          10      0.00034  0.00033  0.50   95751      32   95735  6127706  64.00
  1956          11      0.00029  0.00029  0.50   95719      28   95705  6031972  63.02
  1956          12      0.00030  0.00030  0.50   95691      28   95676  5936267  62.04
  1956          13      0.00026  0.00026  0.50   95662      25   95650  5840591  61.05
  1956          14      0.00037  0.00037  0.50   95637      36   95619  5744941  60.07
  1956          15      0.00045  0.00045  0.50   95602      43   95580  5649321  59.09
  1956          16      0.00047  0.00047  0.50   95558      45   95536  5553742  58.12
  1956          17      0.00055  0.00055  0.50   95513      52   95487  5458206  57.15
  1956          18      0.00049  0.00049  0.50   95461      47   95438  5362719  56.18
  1956          19      0.00053  0.00053  0.50   95414      51   95389  5267281  55.20
  1956          20      0.00071  0.00071  0.50   95364      68   95330  5171892  54.23
  1956          21      0.00068  0.00068  0.50   95296      65   95263  5076563  53.27
  1956          22      0.00066  0.00066  0.50   95231      63   95199  4981300  52.31
  1956          23      0.00079  0.00078  0.50   95168      75   95130  4886100  51.34
  1956          24      0.00081  0.00081  0.50   95093      77   95055  4790970  50.38
  1956          25      0.00088  0.00088  0.50   95016      83   94974  4695915  49.42
  1956          26      0.00092  0.00091  0.50   94933      87   94889  4600941  48.47
  1956          27      0.00095  0.00095  0.50   94846      90   94801  4506052  47.51
  1956          28      0.00101  0.00101  0.50   94756      96   94708  4411251  46.55
  1956          29      0.00118  0.00118  0.50   94660     112   94604  4316543  45.60
  1956          30      0.00119  0.00119  0.50   94548     113   94492  4221940  44.65
  1956          31      0.00119  0.00119  0.50   94435     112   94379  4127448  43.71
  1956          32      0.00122  0.00122  0.50   94323     115   94265  4033069  42.76
  1956          33      0.00139  0.00139  0.50   94208     131   94143  3938803  41.81
  1956          34      0.00135  0.00135  0.50   94077     127   94014  3844661  40.87
  1956          35      0.00144  0.00144  0.50   93950     136   93882  3750647  39.92
  1956          36      0.00173  0.00173  0.50   93814     162   93733  3656765  38.98
  1956          37      0.00158  0.00158  0.50   93652     148   93578  3563032  38.05
  1956          38      0.00196  0.00196  0.50   93504     183   93412  3469454  37.10
  1956          39      0.00200  0.00200  0.50   93321     186   93228  3376041  36.18
  1956          40      0.00215  0.00215  0.50   93135     200   93035  3282814  35.25
  1956          41      0.00255  0.00255  0.50   92935     237   92816  3189779  34.32
  1956          42      0.00249  0.00249  0.50   92698     231   92582  3096963  33.41
  1956          43      0.00275  0.00274  0.50   92467     254   92340  3004381  32.49
  1956          44      0.00289  0.00289  0.50   92213     266   92080  2912040  31.58
  1956          45      0.00321  0.00321  0.50   91947     295   91799  2819960  30.67
  1956          46      0.00329  0.00328  0.50   91652     301   91502  2728161  29.77
  1956          47      0.00364  0.00363  0.50   91351     332   91185  2636660  28.86
  1956          48      0.00402  0.00401  0.50   91019     365   90837  2545474  27.97
  1956          49      0.00454  0.00453  0.50   90655     410   90449  2454637  27.08
  1956          50      0.00475  0.00473  0.50   90244     427   90031  2364188  26.20
  1956          51      0.00516  0.00514  0.50   89817     462   89586  2274157  25.32
  1956          52      0.00574  0.00572  0.50   89355     511   89099  2184571  24.45
